iter	RMSE
0	11574.12393
1	11460.95664
2	11367.21142
3	11250.57105
4	11160.89158
5	11083.28093
6	10983.56305
7	10897.08491
8	10837.0266
9	10777.15952
10	10720.79418
11	10663.96491
12	10589.57419
13	10521.49129
14	10445.37571
15	10392.19398
16	10324.13235
17	10266.85718
18	10201.71762
19	10147.01429
20	10093.87519
21	10047.06926
22	10013.88421
23	9974.425925
24	9939.282903
25	9893.461082
26	9859.974821
27	9828.167306
28	9790.548848
29	9748.46927
30	9716.706825
31	9674.258359
32	9636.145076
33	9600.962601
34	9564.693942
35	9537.097782
36	9503.060372
37	9471.287025
38	9451.925353
39	9430.717546
40	9409.980528
41	9382.206095
42	9356.612534
43	9328.674436
44	9298.538248
45	9278.051687
46	9255.11886
47	9236.168199
48	9218.819648
49	9194.648796
50	9179.322861
51	9163.824161
52	9148.067239
53	9127.078868
54	9112.383137
55	9097.009819
56	9085.225023
57	9071.118873
58	9059.592258
59	9049.816366
60	9037.678128
61	9026.127114
62	9019.056233
63	9007.266029
64	8995.724694
65	8985.351988
66	8971.142918
67	8962.276659
68	8949.494901
69	8934.910147
70	8927.742639
71	8913.616009
72	8903.776581
73	8891.02527
74	8878.623409
75	8867.672898
76	8859.647142
77	8849.008168
78	8843.669788
79	8836.340595
80	8823.512889
81	8817.771751
82	8805.395262
83	8802.473706
84	8789.865546
85	8782.551528
86	8775.031632
87	8760.25559
88	8755.733055
89	8748.609046
90	8740.757406
91	8728.002332
92	8721.657361
93	8712.154589
94	8706.899202
95	8693.383866
96	8687.451602
97	8676.192907
98	8662.227071
99	8652.25871
100	8646.267145
101	8637.275257
102	8624.293448
103	8619.006795
104	8608.878228
105	8603.284788
106	8597.357239
107	8594.045966
108	8590.212954
109	8583.754515
110	8575.722438
111	8566.008917
112	8556.577949
113	8551.490413
114	8546.276075
115	8543.175603
116	8538.245529
117	8533.075656
118	8526.220111
119	8520.45714
120	8515.433003
121	8507.511818
122	8502.61884
123	8501.617731
124	8498.319821
125	8491.429729
126	8487.900634
127	8477.854345
128	8473.428202
129	8470.87412
130	8469.269026
131	8467.081447
132	8463.175813
133	8458.839169
134	8454.945807
135	8451.723096
136	8444.713953
137	8438.502299
138	8432.642944
139	8426.746147
140	8426.317597
141	8424.496224
142	8418.597014
143	8415.547434
144	8412.421203
145	8405.215146
146	8399.061169
147	8393.733197
148	8387.300977
149	8377.515288
150	8369.910892
151	8364.283136
152	8358.624747
153	8354.368293
154	8350.917595
155	8347.420146
156	8339.237406
157	8337.104889
158	8331.554219
159	8327.725831
160	8318.822262
161	8314.238407
162	8313.039257
163	8307.533331
164	8302.388567
165	8298.529986
166	8293.466102
167	8288.630623
168	8283.268519
169	8279.17506
170	8276.92434
171	8270.793624
172	8268.045218
173	8264.591299
174	8261.908779
175	8257.835021
176	8253.376788
177	8250.752279
178	8247.64688
179	8244.537722
180	8240.287017
181	8237.412659
182	8232.209055
183	8222.047913
184	8219.719929
185	8216.657418
186	8214.202421
187	8208.235885
188	8204.577044
189	8194.618862
190	8192.055792
191	8188.002289
192	8185.699718
193	8183.192793
194	8174.263673
195	8168.447372
196	8165.564061
197	8161.024294
198	8158.018679
199	8155.684007
200	8150.990262
201	8144.079868
202	8139.853673
203	8136.566838
204	8131.668846
205	8128.462945
206	8125.60203
207	8121.958598
208	8120.200379
209	8113.670703
210	8111.215944
211	8105.735371
212	8103.591142
213	8100.762398
214	8096.595093
215	8092.814934
216	8090.85632
217	8084.952021
218	8080.836688
219	8079.053164
220	8074.062748
221	8067.820135
222	8065.77164
223	8065.197819
224	8060.077934
225	8056.867089
226	8054.366036
227	8050.967055
228	8046.808179
229	8044.733716
230	8041.213464
231	8034.999239
232	8033.486868
233	8032.638776
234	8030.545121
235	8027.046277
236	8025.186622
237	8024.160196
238	8016.897446
239	8013.31859
240	8012.415426
241	8007.171777
242	8004.976475
243	8000.966039
244	7997.737997
245	7995.696328
246	7992.815257
247	7988.58418
248	7984.270045
249	7983.605897
250	7981.751278
251	7980.071704
252	7976.18019
253	7973.863784
254	7971.454625
255	7970.67976
256	7966.551853
257	7965.733968
258	7963.090464
259	7962.34559
260	7961.075726
261	7960.384275
262	7959.626117
263	7958.999277
264	7956.223455
265	7951.207181
266	7950.575487
267	7945.444748
268	7941.676142
269	7940.180984
270	7939.523384
271	7936.654718
272	7935.904785
273	7933.98466
274	7930.520598
275	7927.062612
276	7926.219665
277	7923.789073
278	7921.472554
279	7918.7341
280	7914.451598
281	7911.844518
282	7911.097586
283	7910.404758
284	7909.176133
285	7907.712841
286	7906.911285
287	7905.184186
288	7901.281481
289	7897.374928
290	7893.424816
291	7891.114968
292	7886.421476
293	7884.875049
294	7881.749496
295	7880.973014
296	7876.519233
297	7875.761024
298	7869.92178
299	7869.241673
300	7863.762421
301	7861.071403
302	7855.271996
303	7850.162394
304	7849.418107
305	7847.588748
306	7842.459247
307	7840.773984
308	7837.07112
309	7834.012696
310	7833.302672
311	7829.278685
312	7825.951004
313	7824.153826
314	7820.356323
315	7814.421153
316	7812.124785
317	7806.426677
318	7803.446051
319	7799.881942
320	7798.175455
321	7795.76685
322	7795.053808
323	7794.423624
324	7793.475523
325	7792.19008
326	7785.659465
327	7779.837969
328	7776.806256
329	7775.067222
330	7773.956544
331	7773.282995
332	7771.598394
333	7771.018935
334	7769.138913
335	7768.545933
336	7767.906083
337	7766.331361
338	7761.779156
339	7761.15274
340	7759.020026
341	7756.869009
342	7750.983537
343	7747.026008
344	7742.372514
345	7741.806895
346	7736.975462
347	7734.054574
348	7732.197455
349	7727.585416
350	7723.955657
351	7718.148065
352	7714.446189
353	7709.85743
354	7708.449404
355	7707.802238
356	7705.730244
357	7705.207937
358	7704.40317
359	7700.608263
360	7695.91821
361	7691.321128
362	7688.221079
363	7687.061433
364	7683.438437
365	7679.446527
366	7677.144871
367	7676.636782
368	7675.242754
369	7670.630644
370	7666.617134
371	7666.12076
372	7661.187189
373	7659.192774
374	7657.09905
375	7654.271348
376	7651.101759
377	7649.829755
378	7649.312521
379	7648.064936
380	7646.840687
381	7642.132741
382	7641.624501
383	7641.125267
384	7639.079526
385	7635.118031
386	7633.907416
387	7633.12337
388	7632.273727
389	7631.820203
390	7629.126963
391	7624.288435
392	7622.511047
393	7621.236596
394	7620.182862
395	7619.659957
396	7618.571762
397	7615.478849
398	7613.832766
399	7608.291285
400	7605.613966
401	7604.739991
402	7601.462893
403	7599.003764
404	7596.456847
405	7591.470613
406	7587.954718
407	7582.039293
408	7581.568315
409	7580.354711
410	7578.934359
411	7575.407159
412	7574.181855
413	7573.152731
414	7569.909825
415	7569.424061
416	7565.953139
417	7562.952599
418	7559.180036
419	7558.701676
420	7555.205335
421	7552.66229
422	7547.454562
423	7545.628616
424	7541.748871
425	7539.725255
426	7538.564164
427	7536.811
428	7534.515789
429	7531.563193
430	7529.684204
431	7527.51648
432	7523.473214
433	7520.616789
434	7515.635065
435	7510.986143
436	7508.18604
437	7504.347265
438	7502.070726
439	7497.803052
440	7495.710911
441	7494.698734
442	7490.918942
443	7487.038475
444	7482.551644
445	7479.118766
446	7478.581576
447	7474.763192
448	7472.193187
449	7470.377616
450	7468.696118
451	7468.234223
452	7467.766701
453	7466.623297
454	7463.319863
455	7460.83275
456	7459.040898
457	7458.049095
458	7455.343371
459	7452.725497
460	7451.32965
461	7450.890619
462	7447.179048
463	7443.587599
464	7438.991151
465	7437.193316
466	7435.045389
467	7434.605611
468	7433.171395
469	7429.697634
470	7427.168891
471	7422.980158
472	7421.099893
473	7420.124164
474	7418.844404
475	7417.108578
476	7414.493937
477	7411.010545
478	7406.063422
479	7404.357795
480	7401.220852
481	7398.999223
482	7398.575805
483	7396.039807
484	7393.925452
485	7391.497791
486	7389.902451
487	7388.139353
488	7386.248026
489	7381.429814
490	7380.019072
491	7378.216326
492	7377.792723
493	7376.921936
494	7374.193524
495	7373.243598
496	7372.826113
497	7370.749572
498	7368.454992
499	7366.168612
500	7363.401356
501	7361.211046
502	7360.5945
503	7359.247897
504	7356.080705
505	7354.177826
506	7351.074078
507	7349.395584
508	7347.933168
509	7345.320015
510	7342.070768
511	7340.112398
512	7338.018918
513	7334.789043
514	7333.12844
515	7331.430049
516	7329.604842
517	7328.63895
518	7326.708209
519	7326.332259
520	7323.786186
521	7322.054714
522	7318.901697
523	7317.100524
524	7315.719602
525	7312.735922
526	7310.168003
527	7306.456605
528	7304.677479
529	7303.032245
530	7301.372793
531	7300.975689
532	7299.746935
533	7298.837274
534	7297.549778
535	7294.078682
536	7291.37754
537	7290.320807
538	7289.930058
539	7289.572545
540	7288.71524
541	7286.368267
542	7282.571834
543	7281.101434
544	7276.892789
545	7273.152395
546	7272.256135
547	7271.894003
548	7269.509408
549	7267.975341
550	7267.1113
551	7264.01743
552	7263.153981
553	7262.376156
554	7262.018516
555	7260.068752
556	7255.106475
557	7254.761881
558	7253.527423
559	7251.339561
560	7250.545143
561	7249.057777
562	7247.918614
563	7247.031812
564	7242.363805
565	7240.01467
566	7236.874147
567	7236.017143
568	7235.66564
569	7235.301836
570	7231.568288
571	7230.022104
572	7228.930242
573	7228.259575
574	7226.549165
575	7225.033996
576	7221.832737
577	7221.473931
578	7218.986997
579	7218.632159
580	7216.686814
581	7214.688759
582	7212.741298
583	7211.018048
584	7207.261111
585	7206.910897
586	7205.422769
587	7204.559503
588	7202.815243
589	7202.085315
590	7200.480352
591	7199.508989
592	7196.711644
593	7195.479036
594	7193.620997
595	7191.094682
596	7187.85598
597	7187.087055
598	7184.662558
599	7184.324763
600	7183.280201
601	7182.307173
602	7181.966445
603	7179.824517
604	7177.280517
605	7176.596093
606	7176.275264
607	7174.233511
608	7171.670491
609	7168.336328
610	7166.544015
611	7163.140392
612	7162.806979
613	7160.793867
614	7159.576701
615	7158.176706
616	7157.453198
617	7154.563961
618	7153.617474
619	7152.460946
620	7149.678437
621	7148.218599
622	7146.87761
623	7143.793361
624	7142.532242
625	7142.224901
626	7141.0702
627	7140.767233
628	7140.140941
629	7137.19947
630	7134.405412
631	7130.579196
632	7128.0793
633	7125.808658
634	7125.499189
635	7125.21025
636	7123.760385
637	7122.039964
638	7117.875611
639	7114.166599
640	7113.072579
641	7111.959229
642	7110.257884
643	7109.973531
644	7108.411448
645	7103.979048
646	7101.067676
647	7098.088991
648	7097.330284
649	7096.724935
650	7094.092308
651	7093.389297
652	7090.332752
653	7089.556146
654	7088.00914
655	7087.69432
656	7083.906141
657	7081.965943
658	7081.339407
659	7080.466557
660	7080.040293
661	7079.232545
662	7077.013799
663	7076.701965
664	7075.95618
665	7074.262398
666	7073.973532
667	7072.734625
668	7072.144012
669	7070.353737
670	7070.080736
671	7068.264719
672	7066.05163
673	7062.525048
674	7058.091132
675	7057.785558
676	7057.505252
677	7055.345245
678	7052.760387
679	7052.491661
680	7050.133887
681	7047.761427
682	7045.492649
683	7044.27213
684	7043.410225
685	7040.553703
686	7037.940115
687	7037.644272
688	7035.818139
689	7033.421382
690	7032.192958
691	7031.930041
692	7031.4313
693	7030.50189
694	7029.39362
695	7028.720165
