iter	Passed	Remaining
417	2706	7004
418	2711	6996
419	2717	6986
420	2723	6979
421	2729	6971
422	2735	6964
423	2741	6957
424	2746	6947
425	2753	6940
426	2759	6933
427	2765	6925
428	2770	6916
429	2775	6907
430	2781	6898
431	2787	6891
432	2793	6883
433	2799	6875
434	2805	6868
435	2810	6859
436	2816	6852
437	2823	6845
438	2829	6837
439	2835	6831
440	2841	6824
441	2848	6817
442	2854	6811
443	2860	6803
444	2866	6796
445	2871	6786
446	2879	6782
447	2885	6776
448	2891	6768
449	2897	6760
450	2902	6752
451	2908	6743
452	2913	6734
453	2919	6726
454	2926	6720
455	2931	6712
456	2937	6704
457	2943	6696
458	2949	6689
459	2955	6681
460	2960	6672
461	2966	6664
462	2971	6656
463	2978	6649
464	2984	6643
465	2990	6634
466	2996	6628
467	3003	6623
468	3009	6615
469	3016	6610
470	3022	6603
471	3028	6596
472	3034	6589
473	3039	6580
474	3046	6574
475	3051	6564
476	3056	6555
477	3062	6548
478	3068	6539
479	3073	6530
480	3079	6523
481	3084	6515
482	3091	6509
483	3097	6501
484	3102	6493
485	3108	6486
486	3114	6479
487	3120	6471
488	3126	6463
489	3132	6456
490	3138	6448
491	3144	6443
492	3150	6436
493	3156	6428
494	3162	6421
495	3168	6413
496	3174	6405
497	3181	6401
498	3187	6393
499	3193	6386
500	3199	6379
501	3205	6372
502	3212	6367
503	3217	6357
504	3223	6351
505	3229	6344
506	3234	6335
507	3241	6329
508	3247	6323
509	3253	6315
510	3259	6307
511	3264	6300
512	3271	6294
513	3277	6287
514	3282	6279
515	3289	6272
516	3294	6264
517	3300	6256
518	3307	6250
519	3312	6242
520	3318	6236
521	3324	6229
522	3330	6221
523	3336	6213
524	3342	6206
525	3348	6200
526	3355	6194
527	3360	6186
528	3366	6178
529	3372	6172
530	3377	6163
531	3383	6156
532	3389	6149
533	3394	6140
534	3400	6134
535	3407	6128
536	3412	6120
537	3418	6113
538	3424	6105
539	3429	6097
540	3435	6090
541	3442	6084
542	3448	6077
543	3453	6069
544	3460	6063
545	3466	6056
546	3472	6049
547	3477	6041
548	3483	6034
549	3489	6027
550	3494	6019
551	3500	6012
552	3506	6005
553	3512	5997
554	3517	5989
555	3523	5982
556	3530	5976
557	3536	5969
558	3541	5961
559	3547	5954
560	3553	5947
561	3559	5940
562	3565	5933
563	3584	5948
564	3590	5941
565	3599	5940
566	3605	5932
567	3610	5924
568	3616	5917
569	3621	5908
570	3627	5901
571	3633	5895
572	3638	5886
573	3644	5878
574	3650	5873
575	3657	5868
576	3664	5862
577	3671	5856
578	3678	5850
579	3684	5844
580	3689	5836
581	3697	5831
582	3702	5823
583	3707	5815
584	3714	5809
585	3719	5801
586	3725	5794
587	3731	5788
588	3737	5780
589	3743	5773
590	3749	5767
591	3756	5761
592	3762	5754
593	3767	5747
594	3774	5740
595	3780	5733
596	3785	5725
597	3791	5718
598	3797	5712
599	3803	5704
600	3808	5697
601	3814	5690
602	3819	5682
603	3827	5677
604	3833	5670
605	3839	5664
606	3845	5657
607	3852	5651
608	3858	5644
609	3864	5637
610	3869	5630
611	3876	5624
612	3881	5617
613	3888	5610
614	3894	5604
615	3900	5597
616	3906	5590
617	3912	5583
618	3917	5575
619	3924	5570
620	3930	5563
621	3936	5555
622	3941	5548
623	3946	5540
624	3952	5532
625	3957	5525
626	3963	5518
627	3970	5512
628	3975	5505
629	3981	5498
630	3988	5493
631	3995	5487
632	4015	5500
633	4021	5493
634	4027	5486
635	4033	5478
636	4039	5472
637	4044	5464
638	4050	5457
639	4057	5451
640	4062	5444
641	4068	5436
642	4074	5430
643	4080	5423
644	4087	5418
645	4093	5411
646	4100	5405
647	4106	5399
648	4111	5391
649	4117	5384
650	4123	5378
651	4129	5370
652	4135	5363
653	4140	5356
654	4145	5348
655	4152	5342
656	4159	5337
657	4165	5330
658	4171	5324
659	4177	5316
660	4183	5310
661	4190	5304
662	4196	5297
663	4202	5291
664	4207	5283
665	4214	5277
666	4220	5271
667	4226	5263
668	4231	5256
669	4237	5248
670	4242	5241
671	4247	5233
672	4253	5227
673	4259	5219
674	4265	5213
675	4271	5206
676	4277	5200
677	4284	5194
678	4289	5187
679	4295	5179
680	4301	5172
681	4306	5165
682	4313	5159
683	4319	5153
684	4325	5145
685	4331	5139
686	4337	5132
687	4343	5126
688	4349	5119
689	4355	5112
690	4361	5106
691	4367	5099
692	4374	5094
693	4380	5087
694	4387	5081
695	4392	5074
696	4400	5069
697	4406	5062
698	4413	5057
699	4418	5049
700	4423	5042
701	4429	5035
702	4434	5027
703	4440	5021
704	4446	5014
705	4451	5006
706	4457	4999
707	4463	4992
708	4468	4985
709	4474	4978
710	4480	4972
711	4487	4966
712	4494	4960
713	4500	4954
714	4506	4947
715	4512	4940
716	4517	4933
717	4523	4926
718	4529	4920
719	4538	4916
720	4546	4912
721	4554	4907
722	4562	4903
723	4570	4898
724	4579	4895
725	4587	4890
726	4595	4885
727	4604	4882
728	4611	4877
729	4618	4871
730	4626	4867
731	4636	4864
732	4643	4858
733	4651	4854
734	4662	4853
735	4672	4849
736	4680	4845
737	4696	4849
738	4708	4848
739	4718	4845
740	4726	4841
741	4739	4841
742	4755	4845
743	4762	4839
744	4774	4839
745	4783	4834
746	4845	4884
747	4855	4881
748	4861	4874
749	4868	4868
750	4874	4861
751	4881	4855
752	4889	4850
753	4896	4844
754	4902	4837
755	4909	4831
756	4916	4825
757	4923	4819
758	4930	4813
759	4936	4806
760	4942	4799
761	4949	4793
762	4955	4786
763	4962	4780
764	4969	4774
765	4975	4767
766	4982	4761
767	4995	4761
768	5004	4757
769	5012	4752
770	5019	4745
771	5025	4738
772	5032	4733
773	5038	4726
774	5045	4719
775	5051	4713
776	5057	4706
777	5064	4700
778	5070	4692
779	5077	4686
780	5083	4680
781	5090	4673
782	5097	4667
783	5103	4660
784	5110	4654
785	5116	4648
786	5123	4641
787	5130	4635
788	5136	4628
789	5142	4621
790	5149	4615
791	5156	4609
792	5170	4609
793	5177	4603
794	5184	4597
795	5191	4591
796	5198	4585
797	5204	4578
798	5210	4571
799	5216	4564
800	5222	4557
801	5228	4550
802	5234	4543
803	5240	4536
804	5246	4529
805	5253	4523
806	5260	4517
807	5266	4510
808	5272	4503
809	5278	4496
810	5284	4489
811	5290	4482
812	5296	4475
813	5302	4468
814	5307	4461
815	5313	4453
816	5319	4447
817	5326	4440
818	5332	4433
819	5338	4426
820	5344	4419
821	5349	4412
822	5356	4405
823	5362	4399
824	5368	4392
825	5374	4385
826	5380	4378
827	5386	4371
828	5393	4365
829	5400	4359
830	5406	4352
831	5412	4345
832	5418	4338
833	5424	4331
834	5430	4324
835	5437	4318
836	5442	4311
837	5449	4304
838	5456	4298
839	5461	4291
840	5467	4283
841	5473	4277
842	5479	4270
843	5485	4263
844	5491	4256
845	5497	4249
846	5504	4243
847	5510	4237
848	5517	4230
849	5523	4223
850	5529	4217
851	5536	4210
852	5541	4203
853	5548	4196
854	5553	4189
855	5558	4182
856	5564	4175
857	5570	4168
858	5575	4160
859	5581	4153
860	5587	4146
861	5592	4139
862	5597	4131
863	5602	4124
864	5607	4116
865	5613	4109
866	5620	4103
867	5625	4096
868	5632	4089
869	5637	4082
870	5644	4076
871	5652	4070
872	5658	4063
873	5664	4057
874	5671	4050
875	5678	4044
876	5684	4038
877	5690	4031
878	5703	4029
879	5709	4022
880	5715	4015
881	5721	4009
882	5727	4002
883	5733	3995
884	5738	3987
885	5746	3982
886	5751	3974
887	5756	3967
888	5762	3960
889	5784	3964
890	5790	3957
891	5795	3950
892	5800	3942
893	5806	3935
894	5813	3929
895	5820	3923
896	5827	3917
897	5833	3910
898	5839	3904
899	5846	3897
900	5851	3890
901	5858	3884
902	5864	3877
903	5869	3869
904	5875	3863
905	5881	3856
906	5887	3849
907	5893	3842
908	5898	3834
909	5904	3828
910	5911	3822
911	5917	3814
912	5923	3808
913	5929	3801
914	5935	3795
915	5941	3788
916	5947	3781
917	5953	3774
918	5959	3767
919	5964	3760
920	5970	3753
921	5975	3746
922	5982	3739
923	5988	3732
924	5993	3725
925	5998	3718
926	6004	3711
927	6011	3705
928	6020	3700
929	6028	3694
930	6034	3688
931	6041	3682
932	6050	3677
933	6057	3670
934	6063	3663
935	6069	3657
936	6075	3650
937	6082	3644
938	6088	3637
939	6093	3630
940	6100	3624
941	6107	3617
942	6113	3610
943	6120	3604
944	6126	3598
945	6133	3592
946	6142	3586
947	6149	3580
948	6158	3575
949	6165	3569
950	6172	3563
951	6179	3557
952	6185	3550
953	6204	3551
954	6209	3543
955	6216	3537
956	6223	3531
957	6229	3524
958	6236	3518
959	6242	3511
960	6248	3504
961	6254	3497
962	6261	3491
963	6268	3485
964	6274	3478
965	6280	3471
966	6285	3464
967	6291	3457
968	6298	3451
969	6304	3444
970	6341	3454
971	6348	3448
972	6355	3442
973	6363	3436
974	6369	3429
975	6375	3422
976	6380	3415
977	6386	3408
978	6393	3402
979	6399	3395
980	6406	3389
981	6412	3382
982	6418	3375
983	6424	3369
984	6430	3362
985	6436	3355
986	6444	3349
987	6451	3343
988	6456	3336
989	6463	3329
990	6470	3323
991	6479	3317
992	6486	3311
993	6494	3306
994	6501	3299
995	6508	3293
996	6515	3287
997	6521	3280
998	6528	3274
999	6535	3267
1000	6545	3262
1001	6550	3255
1002	6556	3249
1003	6563	3242
1004	6572	3237
1005	6577	3230
1006	6583	3222
1007	6589	3216
1008	6596	3210
1009	6603	3203
1010	6611	3197
1011	6617	3190
1012	6624	3184
1013	6630	3178
1014	6637	3171
1015	6643	3164
1016	6650	3158
1017	6656	3151
1018	6663	3145
1019	6669	3138
1020	6675	3131
1021	6681	3125
1022	6687	3118
1023	6694	3111
1024	6700	3105
1025	6707	3098
1026	6712	3091
1027	6718	3084
1028	6725	3078
1029	6731	3071
1030	6737	3065
1031	6744	3058
1032	6749	3051
1033	6755	3044
1034	6763	3038
1035	6770	3032
1036	6776	3025
1037	6782	3019
1038	6790	3013
1039	6797	3006
1040	6808	3001
1041	6814	2995
1042	6823	2989
1043	6831	2984
1044	6838	2977
1045	6844	2970
1046	6852	2964
1047	6858	2958
1048	6864	2951
1049	6870	2944
1050	6876	2937
1051	6883	2931
1052	6890	2924
1053	6896	2918
1054	6903	2911
1055	6909	2905
1056	6915	2898
1057	6928	2894
1058	6935	2887
1059	6940	2880
1060	6947	2874
1061	6954	2868
1062	6962	2862
1063	6969	2856
1064	6977	2849
1065	6983	2843
1066	6989	2836
1067	6996	2830
1068	7003	2823
1069	7010	2817
1070	7016	2810
1071	7022	2803
1072	7029	2797
1073	7035	2790
1074	7042	2784
1075	7049	2777
1076	7054	2770
1077	7061	2764
1078	7066	2757
1079	7072	2750
1080	7079	2743
1081	7086	2737
1082	7093	2731
1083	7100	2724
1084	7110	2719
1085	7117	2713
1086	7124	2706
1087	7132	2700
1088	7139	2694
1089	7145	2687
1090	7152	2681
1091	7157	2674
1092	7164	2667
1093	7171	2661
1094	7177	2654
1095	7184	2648
1096	7190	2641
1097	7196	2634
1098	7202	2627
1099	7208	2621
1100	7215	2614
1101	7221	2608
1102	7229	2602
1103	7236	2595
1104	7244	2589
1105	7250	2582
1106	7259	2577
1107	7264	2570
1108	7271	2563
1109	7277	2557
1110	7283	2550
1111	7291	2544
1112	7298	2537
1113	7305	2531
1114	7312	2525
1115	7318	2518
1116	7325	2511
1117	7331	2504
1118	7338	2498
1119	7345	2492
1120	7352	2485
1121	7358	2478
1122	7363	2472
1123	7370	2465
1124	7377	2459
1125	7383	2452
1126	7389	2445
1127	7396	2439
1128	7403	2432
1129	7409	2426
1130	7415	2419
1131	7423	2413
1132	7428	2406
1133	7435	2399
1134	7443	2393
1135	7449	2387
1136	7459	2381
1137	7465	2374
1138	7472	2368
1139	7478	2361
1140	7486	2355
1141	7492	2348
1142	7498	2342
1143	7504	2335
1144	7511	2328
1145	7517	2322
1146	7523	2315
1147	7530	2309
1148	7537	2302
1149	7543	2295
1150	7549	2289
1151	7555	2282
1152	7561	2275
1153	7568	2269
1154	7574	2262
1155	7581	2256
1156	7588	2249
1157	7595	2243
1158	7601	2236
1159	7609	2230
1160	7616	2223
1161	7624	2217
1162	7629	2210
1163	7636	2204
1164	7643	2197
1165	7648	2190
1166	7654	2184
1167	7660	2177
1168	7668	2171
1169	7675	2164
1170	7683	2158
1171	7691	2152
1172	7703	2147
1173	7710	2140
1174	7717	2134
1175	7728	2129
1176	7737	2123
1177	7744	2117
1178	7751	2110
1179	7759	2104
1180	7768	2098
1181	7779	2092
1182	7787	2086
1183	7803	2082
1184	7812	2076
1185	7820	2070
1186	7829	2064
1187	7836	2058
1188	7845	2052
1189	7853	2045
1190	7862	2039
1191	7870	2033
1192	7877	2027
1193	7898	2024
1194	7909	2018
1195	7951	2021
1196	7963	2015
1197	7970	2009
1198	7995	2007
1199	8004	2001
1200	8010	1994
1201	8016	1987
1202	8025	1981
1203	8033	1974
1204	8039	1968
1205	8044	1961
1206	8051	1954
1207	8058	1947
1208	8064	1940
1209	8071	1934
1210	8078	1927
1211	8097	1924
1212	8104	1917
1213	8111	1910
1214	8118	1904
1215	8126	1897
1216	8132	1891
1217	8139	1884
1218	8174	1884
1219	8180	1877
1220	8187	1870
1221	8193	1864
1222	8203	1857
1223	8210	1851
1224	8217	1844
1225	8230	1839
1226	8241	1833
1227	8250	1827
1228	8260	1821
1229	8273	1816
1230	8285	1810
1231	8293	1804
1232	8302	1797
1233	8309	1791
1234	8317	1784
1235	8323	1777
1236	8332	1771
1237	8340	1765
1238	8348	1758
1239	8355	1752
1240	8362	1745
1241	8370	1738
1242	8376	1731
1243	8383	1725
1244	8389	1718
1245	8396	1711
1246	8404	1705
1247	8413	1698
1248	8421	1692
1249	8429	1685
1250	8436	1679
1251	8443	1672
1252	8452	1666
1253	8459	1659
1254	8467	1653
1255	8475	1646
1256	8483	1639
1257	8489	1633
1258	8497	1626
1259	8504	1619
1260	8512	1613
1261	8518	1606
1262	8524	1599
1263	8531	1592
1264	8537	1586
1265	8545	1579
1266	8552	1572
1267	8560	1566
1268	8566	1559
1269	8573	1552
1270	8580	1545
1271	8585	1538
1272	8591	1532
1273	8598	1525
1274	8604	1518
1275	8611	1511
1276	8617	1504
1277	8623	1497
1278	8630	1491
1279	8636	1484
1280	8646	1478
1281	8653	1471
1282	8659	1464
1283	8665	1457
1284	8671	1450
1285	8678	1444
1286	8685	1437
1287	8691	1430
1288	8697	1423
1289	8704	1416
1290	8712	1410
1291	8719	1403
1292	8726	1397
1293	8732	1390
1294	8742	1383
1295	8751	1377
1296	8759	1370
1297	8768	1364
1298	8776	1358
1299	8785	1351
1300	8795	1345
1301	8802	1338
1302	8812	1332
1303	8820	1325
1304	8826	1318
1305	8834	1312
1306	8846	1306
1307	8856	1300
1308	8865	1293
1309	8875	1287
1310	8884	1280
1311	8892	1274
1312	8900	1267
1313	8908	1261
1314	8916	1254
1315	8923	1247
1316	8939	1242
1317	8947	1235
1318	8955	1228
1319	8969	1223
1320	8981	1217
1321	8989	1210
1322	8999	1203
1323	9009	1197
1324	9017	1191
1325	9024	1184
1326	9032	1177
1327	9038	1170
1328	9045	1163
1329	9054	1157
1330	9064	1150
1331	9070	1144
1332	9077	1137
1333	9085	1130
1334	9094	1123
1335	9101	1117
1336	9107	1110
1337	9114	1103
1338	9128	1097
1339	9136	1090
1340	9145	1084
1341	9151	1077
1342	9158	1070
1343	9165	1063
1344	9180	1057
1345	9186	1051
1346	9194	1044
1347	9200	1037
1348	9207	1030
1349	9214	1023
1350	9221	1017
1351	9229	1010
1352	9236	1003
1353	9246	997
1354	9253	990
1355	9260	983
1356	9268	976
1357	9276	970
1358	9291	963
1359	9303	957
1360	9311	951
1361	9323	944
1362	9331	937
1363	9339	931
1364	9360	925
1365	9371	919
1366	9381	912
1367	9393	906
1368	9402	899
1369	9410	892
1370	9423	886
1371	9434	880
1372	9443	873
1373	9450	866
1374	9460	860
1375	9469	853
1376	9477	846
1377	9485	839
1378	9492	832
1379	9502	826
1380	9509	819
1381	9520	812
1382	9568	809
1383	9606	805
1384	9612	798
1385	9620	791
1386	9627	784
1387	9634	777
1388	9641	770
1389	9648	763
1390	9656	756
1391	9663	749
1392	9670	742
1393	9677	735
1394	9685	729
1395	9691	722
1396	9698	715
1397	9704	708
1398	9711	701
1399	9718	694
1400	9724	687
1401	9730	680
1402	9737	673
1403	9742	666
1404	9749	659
1405	9755	652
1406	9761	645
1407	9767	638
1408	9774	631
1409	9781	624
1410	9789	617
1411	9798	610
1412	9807	603
1413	9815	596
1414	9826	590
1415	9835	583
1416	9845	576
1417	9853	569
1418	9864	563
1419	9873	556
1420	9882	549
1421	9892	542
1422	9899	535
1423	9906	528
1424	9914	521
1425	9921	514
1426	9930	508
1427	9938	501
1428	9949	494
1429	9959	487
1430	9969	480
1431	9979	473
1432	9989	467
1433	9997	460
1434	10005	453
1435	10016	446
1436	10025	439
1437	10033	432
1438	10046	425
1439	10064	419
1440	10078	412
1441	10087	405
1442	10093	398
1443	10100	391
1444	10109	384
1445	10116	377
1446	10122	370
1447	10128	363
1448	10134	356
1449	10141	349
1450	10146	342
1451	10152	335
1452	10159	328
1453	10164	321
1454	10171	314
1455	10177	307
1456	10184	300
1457	10190	293
1458	10197	286
1459	10203	279
1460	10209	272
1461	10216	265
1462	10224	258
1463	10230	251
1464	10239	244
1465	10244	237
1466	10258	230
1467	10268	223
1468	10276	216
1469	10287	209
1470	10294	202
1471	10307	196
1472	10313	189
1473	10322	182
1474	10329	175
1475	10338	168
1476	10345	161
1477	10355	154
1478	10361	147
1479	10371	140
1480	10380	133
1481	10388	126
1482	10397	119
1483	10405	112
1484	10413	105
1485	10421	98
1486	10428	91
1487	10440	84
1488	10451	77
1489	10462	70
1490	10470	63
1491	10479	56
1492	10487	49
1493	10499	42
1494	10511	35
1495	10520	28
1496	10529	21
1497	10537	14
1498	10545	7
1499	10553	0
